Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Round,Global Accuracy
50,4,1,38,0.3555
50,4,1,39,0.399
50,4,1,40,0.354
50,4,1,41,0.4135
50,4,1,42,0.3325
50,4,1,43,0.316
50,4,1,44,0.207
50,4,1,45,0.29
50,4,1,46,0.296
50,4,1,47,0.3505
50,4,1,48,0.361
50,4,1,49,0.302
50,4,1,50,0.2765
50,4,2,1,0.0895
50,4,2,2,0.1195
50,4,2,3,0.1775
50,4,2,4,0.2325
50,4,2,5,0.256
50,4,2,6,0.2655
50,4,2,7,0.298
50,4,2,8,0.3
50,4,2,9,0.238
50,4,2,10,0.2095
50,4,2,11,0.2125
50,4,2,12,0.2385
50,4,2,13,0.2765
50,4,2,14,0.242
50,4,2,15,0.202
50,4,2,16,0.3005
50,4,2,17,0.232
50,4,2,18,0.2525
50,4,2,19,0.26
50,4,2,20,0.2725
50,4,2,21,0.328
50,4,2,22,0.286
50,4,2,23,0.304
50,4,2,24,0.2545
50,4,2,25,0.239
50,4,2,26,0.2235
50,4,2,27,0.2315
50,4,2,28,0.2465
50,4,2,29,0.194
50,4,2,30,0.284
50,4,2,31,0.198
50,4,2,32,0.237
50,4,2,33,0.3095
50,4,2,34,0.2835
50,4,2,35,0.306
50,4,2,36,0.296
50,4,2,37,0.225
50,4,2,38,0.223
50,4,2,39,0.2815
50,4,2,40,0.3115
50,4,2,41,0.209
50,4,2,42,0.139
50,4,2,43,0.1325
50,4,2,44,0.1765
50,4,2,45,0.192
50,4,2,46,0.186
50,4,2,47,0.1385
50,4,2,48,0.3065
50,4,2,49,0.185
50,4,2,50,0.1895
50,4,3,1,0.0895
50,4,3,2,0.116
50,4,3,3,0.12
50,4,3,4,0.146
50,4,3,5,0.126
50,4,3,6,0.1495
50,4,3,7,0.1945
50,4,3,8,0.1565
50,4,3,9,0.1285
50,4,3,10,0.18
50,4,3,11,0.1505
50,4,3,12,0.119
50,4,3,13,0.1295
50,4,3,14,0.1175
50,4,3,15,0.1065
50,4,3,16,0.1045
50,4,3,17,0.099
50,4,3,18,0.1195
50,4,3,19,0.134
50,4,3,20,0.094
50,4,3,21,0.0875
50,4,3,22,0.1215
50,4,3,23,0.111
50,4,3,24,0.1275
50,4,3,25,0.139
50,4,3,26,0.111
50,4,3,27,0.118
50,4,3,28,0.1065
50,4,3,29,0.1
50,4,3,30,0.1185
50,4,3,31,0.0895
50,4,3,32,0.1065
50,4,3,33,0.1015
50,4,3,34,0.1
50,4,3,35,0.1065
50,4,3,36,0.1015
50,4,3,37,0.116
50,4,3,38,0.1
50,4,3,39,0.0955
50,4,3,40,0.1065
50,4,3,41,0.1
50,4,3,42,0.0895
50,4,3,43,0.1065
50,4,3,44,0.1
50,4,3,45,0.0955
50,4,3,46,0.1
50,4,3,47,0.0955
50,4,3,48,0.1
50,4,3,49,0.1015
50,4,3,50,0.1065
50,4,4,1,0.1
50,4,4,2,0.1015
50,4,4,3,0.0885
50,4,4,4,0.104
50,4,4,5,0.0895
50,4,4,6,0.1065
50,4,4,7,0.1
50,4,4,8,0.104
50,4,4,9,0.1
50,4,4,10,0.104
50,4,4,11,0.116
50,4,4,12,0.1015
50,4,4,13,0.0955
50,4,4,14,0.097
50,4,4,15,0.0895
50,4,4,16,0.1
50,4,4,17,0.1015
50,4,4,18,0.1
50,4,4,19,0.1
50,4,4,20,0.1
50,4,4,21,0.0895
50,4,4,22,0.1
50,4,4,23,0.116
50,4,4,24,0.1065
50,4,4,25,0.0955
50,4,4,26,0.1
50,4,4,27,0.1065
50,4,4,28,0.1
50,4,4,29,0.1015
50,4,4,30,0.0955
50,4,4,31,0.1
50,4,4,32,0.116
50,4,4,33,0.1
50,4,4,34,0.1
50,4,4,35,0.0955
50,4,4,36,0.1065
50,4,4,37,0.104
50,4,4,38,0.1015
50,4,4,39,0.1015
50,4,4,40,0.1
50,4,4,41,0.0895
50,4,4,42,0.1
50,4,4,43,0.1
50,4,4,44,0.097
50,4,4,45,0.1065
50,4,4,46,0.0885
50,4,4,47,0.1015
50,4,4,48,0.104
50,4,4,49,0.1015
50,4,4,50,0.116
50,4,5,1,0.1
50,4,5,2,0.1015
50,4,5,3,0.0895
50,4,5,4,0.104
50,4,5,5,0.1
50,4,5,6,0.1015
50,4,5,7,0.1015
50,4,5,8,0.0885
50,4,5,9,0.097
50,4,5,10,0.104
50,4,5,11,0.1015
50,4,5,12,0.1
50,4,5,13,0.1015
50,4,5,14,0.0955
50,4,5,15,0.1
50,4,5,16,0.0895
50,4,5,17,0.1
50,4,5,18,0.1
50,4,5,19,0.0885
50,4,5,20,0.0895
50,4,5,21,0.0955
50,4,5,22,0.104
50,4,5,23,0.1065
50,4,5,24,0.104
50,4,5,25,0.097
50,4,5,26,0.1
50,4,5,27,0.1015
50,4,5,28,0.0885
50,4,5,29,0.1015
50,4,5,30,0.0885
50,4,5,31,0.1015
50,4,5,32,0.0895
50,4,5,33,0.0885
50,4,5,34,0.0885
50,4,5,35,0.0955
50,4,5,36,0.0955
50,4,5,37,0.0955
50,4,5,38,0.0895
50,4,5,39,0.0955
50,4,5,40,0.1015
50,4,5,41,0.1015
50,4,5,42,0.0895
50,4,5,43,0.116
50,4,5,44,0.0955
50,4,5,45,0.0955
50,4,5,46,0.1015
50,4,5,47,0.0885
50,4,5,48,0.097
50,4,5,49,0.0885
50,4,5,50,0.116
