Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Round,Global Accuracy
70,3,6,44,0.087
70,3,6,45,0.114
70,3,6,46,0.093
70,3,6,47,0.109
70,3,6,48,0.109
70,3,6,49,0.1
70,3,6,50,0.078
70,3,6,51,0.109
70,3,6,52,0.109
70,3,6,53,0.108
70,3,6,54,0.109
70,3,6,55,0.109
70,3,6,56,0.108
70,3,6,57,0.1
70,3,6,58,0.1
70,3,6,59,0.087
70,3,6,60,0.087
70,3,6,61,0.1
70,3,6,62,0.121
70,3,6,63,0.108
70,3,6,64,0.121
70,3,6,65,0.093
70,3,6,66,0.1
70,3,6,67,0.078
70,3,6,68,0.1
70,3,6,69,0.087
70,3,6,70,0.078
70,3,7,1,0.078
70,3,7,2,0.087
70,3,7,3,0.114
70,3,7,4,0.124
70,3,7,5,0.123
70,3,7,6,0.163
70,3,7,7,0.172
70,3,7,8,0.183
70,3,7,9,0.21
70,3,7,10,0.188
70,3,7,11,0.204
70,3,7,12,0.181
70,3,7,13,0.141
70,3,7,14,0.104
70,3,7,15,0.121
70,3,7,16,0.111
70,3,7,17,0.165
70,3,7,18,0.164
70,3,7,19,0.101
70,3,7,20,0.127
70,3,7,21,0.108
70,3,7,22,0.157
70,3,7,23,0.161
70,3,7,24,0.154
70,3,7,25,0.181
70,3,7,26,0.139
70,3,7,27,0.175
70,3,7,28,0.146
70,3,7,29,0.162
70,3,7,30,0.165
70,3,7,31,0.156
70,3,7,32,0.153
70,3,7,33,0.111
70,3,7,34,0.131
70,3,7,35,0.128
70,3,7,36,0.137
70,3,7,37,0.156
70,3,7,38,0.158
70,3,7,39,0.196
70,3,7,40,0.179
70,3,7,41,0.152
70,3,7,42,0.142
70,3,7,43,0.139
70,3,7,44,0.123
70,3,7,45,0.156
70,3,7,46,0.139
70,3,7,47,0.159
70,3,7,48,0.134
70,3,7,49,0.145
70,3,7,50,0.144
70,3,7,51,0.158
70,3,7,52,0.13
70,3,7,53,0.132
70,3,7,54,0.114
70,3,7,55,0.153
70,3,7,56,0.157
70,3,7,57,0.112
70,3,7,58,0.128
70,3,7,59,0.098
70,3,7,60,0.103
70,3,7,61,0.152
70,3,7,62,0.118
70,3,7,63,0.105
70,3,7,64,0.095
70,3,7,65,0.089
70,3,7,66,0.084
70,3,7,67,0.119
70,3,7,68,0.092
70,3,7,69,0.094
70,3,7,70,0.103
70,3,8,1,0.078
70,3,8,2,0.078
70,3,8,3,0.108
70,3,8,4,0.109
70,3,8,5,0.093
70,3,8,6,0.087
70,3,8,7,0.108
70,3,8,8,0.103
70,3,8,9,0.093
70,3,8,10,0.108
70,3,8,11,0.103
70,3,8,12,0.1
70,3,8,13,0.109
70,3,8,14,0.087
70,3,8,15,0.108
70,3,8,16,0.103
70,3,8,17,0.108
70,3,8,18,0.087
70,3,8,19,0.121
70,3,8,20,0.093
70,3,8,21,0.114
70,3,8,22,0.121
70,3,8,23,0.109
70,3,8,24,0.109
70,3,8,25,0.078
70,3,8,26,0.114
70,3,8,27,0.093
70,3,8,28,0.087
70,3,8,29,0.103
70,3,8,30,0.121
70,3,8,31,0.078
70,3,8,32,0.114
70,3,8,33,0.1
70,3,8,34,0.108
70,3,8,35,0.108
70,3,8,36,0.121
70,3,8,37,0.087
70,3,8,38,0.093
70,3,8,39,0.109
70,3,8,40,0.087
70,3,8,41,0.108
70,3,8,42,0.087
70,3,8,43,0.109
70,3,8,44,0.103
70,3,8,45,0.121
70,3,8,46,0.108
70,3,8,47,0.087
70,3,8,48,0.1
70,3,8,49,0.103
70,3,8,50,0.087
70,3,8,51,0.103
70,3,8,52,0.087
70,3,8,53,0.121
70,3,8,54,0.078
70,3,8,55,0.114
70,3,8,56,0.109
70,3,8,57,0.114
70,3,8,58,0.103
70,3,8,59,0.087
70,3,8,60,0.114
